Ecoli_kcat_high,Ecoli_kcat_low,Ecoli_kapp_high,Ecoli_kapp_low,Yeast_kcat_high,Yeast_kcat_low,Yeast_kapp_high,Yeast_kapp_low
,,,,856782,853288,851617,850593
,,,,850643,853097,853107,850608
,,,,853798,855245,851516,853585
,,,,852291,855480,853653,851492
,,,,856145,853183,855245,856296
,,,,855866,853118,855857,852017
,,,,854732,854792,854339,853183
,,,,852951,851152,850420,856692
,,,,856412,852550,853123,854377
,,,,856147,856539,855298,854714
,,,,851492,851956,854022,856766
,,,,852688,853395,850871,850370
,,,,855248,853288,850749,851614
,,,,856548,851152,853664,850499
,,,,853541,851736,855943,851069
,,,,851069,855135,852235,855779
,,,,851955,850370,851504,853272
,,,,851171,855857,853123,855866
,,,,852986,852235,853777,855619
,,,,851705,853272,856188,856733
,,,,852684,856819,853569,853844
,,,,851069,850499,856448,853532
,,,,852241,850593,855653,856597
,,,,855653,,851464,856027
,,,,855943,,850420,855149
,,,,852565,,850643,856824
,,,,853664,,851620,855779
,,,,856321,,853941,853941
,,,,853853,,854865,856145
,,,,850420,,852464,852951
,,,,851464,,852606,856420
,,,,856597,,856689,853844
,,,,856027,,853118,853941
,,,,853994,,853585,856689
,,,,850733,,852327,852450
,,,,855248,,851646,853853
,,,,852017,,851504,851736
,,,,852235,,852495,856448
,,,,853118,,853107,855866
,,,,853602,,856412,852317
,,,,856548,,856296,855135
,,,,851504,,855619,853653
,,,,856825,,856473,855732
,,,,853532,,852952,853510
,,,,855857,,853994,854792
,,,,856548,,851322,852559
,,,,851492,,854852,851464
,,,,855732,,850499,856825
,,,,856313,,852617,853288
,,,,854339,,856442,851570
,,,,855257,,856173,852952
,,,,850643,,853183,852495
,,,,855248,,853272,851736
,,,,851620,,851892,853181
,,,,856027,,850643,853272
,,,,853664,,856188,852179
,,,,856782,,851171,851605
,,,,852202,,851193,
,,,,855245,,850588,
,,,,852872,,852550,
,,,,851705,,853510,
,,,,852235,,852177,
,,,,851492,,851322,
,,,,850643,,852464,
,,,,850499,,851620,
,,,,853664,,852142,
,,,,856782,,855257,
,,,,850420,,851068,
,,,,851646,,855786,
,,,,856568,,853994,
,,,,853798,,852688,
,,,,855779,,853118,
,,,,853183,,850588,
,,,,851582,,855480,
,,,,850514,,851955,
,,,,853183,,851582,
,,,,853123,,853669,
,,,,856296,,851193,
,,,,853569,,850747,
,,,,854852,,856615,
,,,,856313,,850499,
,,,,856748,,852291,
